fecha,lote_id,finca_id,especie,variedad,tipo_cultivo,fecha_siembra,edad_dias,area_ha,densidad_plantas_ha,ciclo_objetivo_dias,sistema_riego,sustrato,estado_fenologico,capacidad_instalada_tallos_dia,rendimiento_base_tallos_ha_sem,porcentaje_exportable_objetivo,temp_media_c,temp_max_c,temp_min_c,humedad_relativa_pct,radiacion_mj_m2,lluvia_mm,vpd_kpa,horas_luz,nubosidad_pct,mano_obra_disponible,mano_obra_requerida,horas_corte,horas_empaque,disponibilidad_camara_frio_pct,fertilizacion_nivel,aplicacion_fitosanitaria,incidencia_plaga_pct,incidencia_enfermedad_pct,merma_poscosecha_pct,retraso_logistico_horas,pedido_id,fecha_pedido,fecha_entrega,cliente_id,tipo_cliente,pais_destino,canal,tallos_solicitados,tallos_confirmados,precio_unitario,descuento_pct,prioridad_cliente,lead_time_dias,cancelado,produccion_estimadaa_tallos,produccion_exportable_tallos,cumplimiento_pedido_pct,gap_demanda_oferta,riesgo_quiebre,riesgo_sobreproduccion,margen_bruto_estimado,score_calidad_lote,probabilidad_cancelacion,forecast_error_historico
2025-04-13,FIN-03-L008,FIN-03,Clavel,Bizet,Invernadero,2025-01-19,84,1.15,78478,90,Microaspersión,Coco,Vegetativo,7474,105000,0.88,19.8,23.9,12.9,79.7,14.1,2.0,0.44,11.9,45.6,9,26,15.7,6.8,82.1,Medio,1,5.0,1.5,10.2,17,PED-00001,2025-03-30,2025-04-18,CLI-090,Broker,Chile,Marketplace,3657,3657,0.286,5,Baja,14,0,8676,7238,100.0,3581,Bajo,Alto,592.21,69.9,0.205,0.051
2025-02-13,FIN-04-L014,FIN-04,Gypsophila,New Love,Campo abierto,2024-11-14,91,1.36,90421,75,Goteo,Cascarilla,Botón,8840,78000,0.88,12.6,19.2,5.7,76.7,18.6,3.6,0.32,11.8,30.0,14,21,18.1,9.8,90.3,Alto,1,27.2,15.0,17.3,10,PED-00002,2024-12-30,2025-02-16,CLI-029,Exportador,Canadá,Contrato,9475,2634,0.249,2,Media,45,0,5065,2901,27.8,-6574,Alto,Bajo,428.08,5.7,0.45,-0.088
2025-02-05,FIN-03-L051,FIN-03,Gypsophila,Xlence,Invernadero,2024-11-02,95,0.44,101776,75,Goteo,Coco,Cosecha,2860,78000,0.88,17.2,25.2,12.6,73.0,19.9,0.0,0.51,12.0,49.1,25,5,5.6,3.6,83.4,Medio,1,24.7,13.7,13.4,10,PED-00003,2025-01-06,2025-02-08,CLI-112,Mayorista,Estados Unidos,Preventa,4442,1115,0.24,5,Media,30,1,2357,1430,25.1,-3012,Alto,Bajo,154.6,17.6,0.45,0.151
2025-05-24,FIN-02-L016,FIN-02,Clavel,Bizet,Invernadero,2025-02-04,109,0.25,91092,90,Goteo,Suelo,Cosecha,1625,105000,0.88,16.5,21.6,10.6,68.3,18.1,0.0,0.58,11.8,38.9,33,4,3.1,2.9,71.5,Bajo,1,20.0,17.7,15.1,13,PED-00004,2025-05-17,2025-05-25,CLI-030,Exportador,Países Bajos,Spot,7143,697,0.287,5,Alta,7,0,1178,688,9.8,-6455,Alto,Bajo,116.5,11.6,0.225,0.144
2025-02-07,FIN-02-L008,FIN-02,Gypsophila,Xlence,Invernadero,2024-11-24,75,1.2,89665,75,Microaspersión,Coco,Cosecha,7800,78000,0.88,19.6,26.5,14.1,78.3,12.6,0.0,0.47,12.3,58.4,33,22,16.3,13.3,82.9,Medio,0,18.1,13.0,12.8,14,PED-00005,2025-01-24,2025-02-12,CLI-092,Supermercado,España,Contrato,3706,2239,0.201,2,Alta,14,1,4555,2979,60.4,-727,Alto,Bajo,228.59,29.0,0.304,0.058
2025-12-20,FIN-03-L022,FIN-03,Rosa,Mondial,Invernadero,2025-09-03,108,0.71,65973,105,Goteo,Suelo,Botón,4615,85000,0.88,17.2,22.8,10.7,53.2,20.8,0.5,0.89,12.7,26.0,27,13,10.8,5.8,79.4,Bajo,1,10.6,5.4,8.5,4,PED-00006,2025-12-13,2025-12-22,CLI-023,Retail,España,Contrato,3306,3306,0.403,0,Alta,7,1,6388,4941,100.0,1635,Bajo,Alto,670.22,59.1,0.11,-0.021
2025-09-07,FIN-04-L034,FIN-04,Rosa,Freedom,Invernadero,2025-03-16,175,0.6,77168,105,Microaspersión,Cascarilla,Reposo,3900,85000,0.88,16.7,24.1,10.9,75.4,19.7,2.1,0.45,12.5,39.2,26,12,8.6,6.0,95.5,Medio,0,9.9,29.5,13.1,4,PED-00007,2025-08-08,2025-09-11,CLI-012,Mayorista,Estados Unidos,Contrato,4127,618,0.445,12,Media,30,1,1102,642,15.0,-3485,Alto,Bajo,121.42,18.3,0.434,-0.129
2025-07-02,FIN-03-L041,FIN-03,Clavel,Dover,Campo abierto,2025-01-22,161,0.79,77881,90,Goteo,Coco,Cosecha,5135,105000,0.88,13.3,17.8,9.1,63.6,17.6,0.5,0.53,11.6,10.0,35,20,8.9,7.5,88.9,Medio,1,30.4,10.4,12.1,12,PED-00008,2025-06-11,2025-07-07,CLI-114,Exportador,Estados Unidos,Contrato,9347,634,0.318,12,Media,21,0,1170,713,6.8,-8634,Alto,Bajo,113.01,18.7,0.344,0.068
2025-08-08,FIN-04-L008,FIN-04,Rosa,Vendela,Invernadero,2025-03-29,132,0.37,74589,105,Goteo,Coco,Vegetativo,2405,85000,0.88,18.1,25.0,11.2,57.5,12.6,0.2,0.85,12.3,61.9,28,7,3.9,3.3,90.5,Medio,1,35.0,30.0,17.8,17,PED-00009,2025-06-24,2025-08-09,CLI-109,Retail,Colombia,Preventa,1389,214,0.416,2,Media,45,1,500,275,15.4,-1114,Alto,Bajo,43.47,0.0,0.45,0.004
2025-01-05,FIN-02-L001,FIN-02,Rosa,Freedom,Invernadero,2024-08-22,136,0.96,60997,105,Goteo,Coco,Botón,6240,85000,0.88,17.0,21.3,12.9,84.3,16.9,0.0,0.29,12.2,47.9,39,20,10.3,11.2,79.3,Medio,0,5.2,12.8,8.3,5,PED-00010,2024-11-21,2025-01-08,CLI-097,Supermercado,Chile,Preventa,2830,2830,0.363,8,Media,45,1,5395,4032,100.0,1202,Bajo,Alto,459.64,55.9,0.45,0.095
